schema,query,actual_output,generated_sql_query,is_match
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the maximum accelerate for all the different cylinders?,"SELECT max(Accelerate) ,  Cylinders FROM CARS_DATA GROUP BY Cylinders;",SELECT max(Accelerate) FROM cars_data GROUP BY Cylinders;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",Which model has the most version(make) of cars?,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.ModelId  =  T2.MakeId GROUP BY T1.Model ORDER BY count(*) DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What model has the most different versions?,SELECT Model FROM CAR_NAMES GROUP BY Model ORDER BY count(*) DESC LIMIT 1;,SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.ModelId  =  T2.MakeId GROUP BY T1.Model ORDER BY count(*) DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",How many cars have more than 4 cylinders?,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,SELECT count(*) FROM cars_data WHERE Cylinders  >  4;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the number of cars with more than 4 cylinders?,SELECT count(*) FROM CARS_DATA WHERE Cylinders  >  4;,SELECT count(*) FROM cars_data WHERE Cylinders  >  4;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",how many cars were produced in 1980?,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,SELECT count(*) FROM cars_data WHERE YEAR  =  1980;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","In 1980, how many cars were made?",SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,SELECT count(*) FROM cars_data WHERE YEAR  =  1980;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",How many car models were produced by the maker with full name American Motor Company?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,"SELECT count(*) FROM model_list AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Id WHERE T2.FullName  =  ""American Motor Company"";",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the number of car models created by the car maker American Motor Company?,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker WHERE T1.FullName  =  'American Motor Company';,"SELECT count(*) FROM model_list AS T1 JOIN car_makers AS T2 ON T1.Maker  =  T2.Id WHERE T2.FullName  =  ""American Motor Company"";",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",Which makers designed more than 3 car models? List full name and the id.,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT T1.FullName,  T1.Id FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING COUNT(*)  >  3;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What are the names and ids of all makers with more than 3 models?,"SELECT T1.FullName ,  T1.Id FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >  3;","SELECT T1.Maker,  T1.Id FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING COUNT(*)  >  3;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",Which distinctive models are produced by maker with the full name General Motors or weighing more than 3500?,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,"SELECT DISTINCT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T1.Maker  =  (SELECT Id FROM car_makers WHERE FullName  =  ""General Motors"") OR T2.Weight  >  3500;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What are the different models created by either the car maker General Motors or weighed more than 3500?,SELECT DISTINCT T2.Model FROM CAR_NAMES AS T1 JOIN MODEL_LIST AS T2 ON T1.Model  =  T2.Model JOIN CAR_MAKERS AS T3 ON T2.Maker  =  T3.Id JOIN CARS_DATA AS T4 ON T1.MakeId  =  T4.Id WHERE T3.FullName  =  'General Motors' OR T4.weight  >  3500;,"SELECT DISTINCT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T2.Weight  >  3500 OR T1.Maker  =  ""General Motors"";",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",In which years cars were produced weighing no less than 3000 and no more than 4000?,select distinct year from cars_data where weight between 3000 and 4000;,SELECT YEAR FROM cars_data WHERE Weight BETWEEN 3000 AND 4000;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What are the different years in which there were cars produced that weighed less than 4000 and also cars that weighted more than 3000?,select distinct year from cars_data where weight between 3000 and 4000;,SELECT DISTINCT YEAR FROM cars_data WHERE Weight  <  4000 INTERSECT SELECT DISTINCT YEAR FROM cars_data WHERE Weight  >  3000;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the horsepower of the car with the largest accelerate?,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT Horsepower FROM cars_data ORDER BY Accelerate DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the horsepower of the car with the greatest accelerate?,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,SELECT Horsepower FROM cars_data ORDER BY Accelerate DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","For model volvo, how many cylinders does the car with the least accelerate have?",SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,"SELECT T2.Cylinders FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T1.Model  =  ""volvo"" ORDER BY T2.Accelerate LIMIT 1;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","For a volvo model, how many cylinders does the version with least accelerate have?",SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,"SELECT T2.Cylinders FROM car_names AS T1 JOIN cars_data AS T2 ON T1.MakeId  =  T2.Id WHERE T1.Make  =  ""volvo"" ORDER BY T2.Accelerate LIMIT 1;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",How many cars have a larger accelerate than the car with the largest horsepower?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,SELECT count(*) FROM cars_data WHERE accelerate  >  (SELECT max(horsepower) FROM cars_data);,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the number of cars with a greater accelerate than the one with the most horsepower?,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,SELECT count(*) FROM cars_data WHERE accelerate  >  (SELECT max(horsepower) FROM cars_data);,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",How many countries has more than 2 car makers?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2;,SELECT count(*) FROM countries AS T1 JOIN car_makers AS T2 ON T1.countryid  =  T2.country GROUP BY T1.countryid HAVING count(*)  >  2;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the number of countries with more than 2 car makers?,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2;,SELECT count(*) FROM countries AS T1 JOIN car_makers AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.CountryId HAVING count(*)  >  2;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",How many cars has over 6 cylinders?,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT count(*) FROM cars_data WHERE Cylinders  >  6;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the number of carsw ith over 6 cylinders?,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,SELECT count(*) FROM cars_data WHERE Cylinders  >  6;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","For the cars with 4 cylinders, which model has the largest horsepower?",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,SELECT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.Horsepower DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","For all of the 4 cylinder cars, which model has the most horsepower?",SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,SELECT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.Horsepower DESC LIMIT 1;,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.","SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;","SELECT T1.MakeId,  T1.Make FROM car_names AS T1 JOIN cars_data AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Horsepower  >  (SELECT min(Horsepower) FROM cars_data) AND T2.Cylinders  <  3;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
","Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders?","select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","SELECT T1.MakeId,  T1.Make FROM car_names AS T1 JOIN cars_data AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Horsepower  <  (SELECT min(Horsepower) FROM cars_data) AND T2.Cylinders  <  4;",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980?,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980;,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR YEAR  <  1980;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980?,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980;,SELECT max(MPG) FROM cars_data WHERE Cylinders  =  8 OR YEAR  <  1980;,True
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,SELECT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T2.Weight  <  3500 EXCEPT SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.ModelId  =  T2.MakeId WHERE T2.Make  =  'Ford Motor Company';,False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,"SELECT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId  =  T2.Id WHERE T2.Weight  <  3500 EXCEPT SELECT T1.Model FROM model_list AS T1 JOIN car_names AS T2 ON T1.ModelId  =  T2.MakeId WHERE T2.Make  =  ""Ford Motor Company"";",False
"CREATE TABLE continents (ContId INT, Continent TEXT);
CREATE TABLE countries (CountryId INT, CountryName TEXT, Continent INT);
CREATE TABLE car_makers (Id INT, Maker TEXT, FullName TEXT, Country TEXT);
CREATE TABLE model_list (ModelId INT, Maker INT, Model TEXT);
CREATE TABLE car_names (MakeId INT, Model TEXT, Make TEXT);
CREATE TABLE cars_data (Id INT, MPG TEXT, Cylinders INT, Edispl INT, Horsepower TEXT, Weight INT, Accelerate INT, Year INT);
",What are the name of the countries where there is not a single car maker?,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,SELECT countryname FROM countries WHERE countryid NOT IN (SELECT country FROM car_makers);,False
